SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","3039","470","3509","20240728"
"1","2","여수여행","여행","국내여행","전라남도","2206","317","2523","20240728"
"2","3","군산여행","여행","국내여행","전라북도","1646","124","1770","20240728"
"3","4","속초여행","여행","국내여행","강원도","1406","186","1592","20240728"
"4","5","경주여행","여행","국내여행","경상북도","1398","186","1584","20240728"
"5","6","강릉여행","여행","국내여행","강원도","1274","197","1471","20240728"
"6","7","제주여행","여행","국내여행","제주특별자치도","1236","161","1397","20240728"
"7","8","남해여행","여행","국내여행","경상남도","1196","153","1349","20240728"
"8","9","목포여행","여행","국내여행","전라남도","1005","114","1119","20240728"
"9","10","전주여행","여행","국내여행","전라북도","906","140","1046","20240728"
