SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1617","779","2396","20240618"
"1","2","여수여행","여행","국내여행","전라남도","1183","476","1659","20240618"
"2","3","제주여행","여행","국내여행","제주특별자치도","1037","430","1467","20240618"
"3","4","강릉여행","여행","국내여행","강원도","867","463","1330","20240618"
"4","5","경주여행","여행","국내여행","경상북도","835","459","1294","20240618"
"5","6","속초여행","여행","국내여행","강원도","711","339","1050","20240618"
"6","7","군산여행","여행","국내여행","전라북도","767","234","1001","20240618"
"7","8","전주여행","여행","국내여행","전라북도","528","229","757","20240618"
"8","9","대전여행","여행","국내여행","대전광역시","491","203","694","20240618"
"9","10","목포여행","여행","국내여행","전라남도","481","198","679","20240618"
