SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1157","180","1337","20250308"
"1","2","군산여행","여행","국내여행","전라북도","1134","111","1245","20250308"
"2","3","제주여행","여행","국내여행","제주특별자치도","872","121","993","20250308"
"3","4","경주여행","여행","국내여행","경상북도","820","146","966","20250308"
"4","5","강릉여행","여행","국내여행","강원도","617","121","738","20250308"
"5","6","여수여행","여행","국내여행","전라남도","601","101","702","20250308"
"6","7","전주여행","여행","국내여행","전라북도","530","92","622","20250308"
"7","8","대전여행","여행","국내여행","대전광역시","498","74","572","20250308"
"8","9","속초여행","여행","국내여행","강원도","476","84","560","20250308"
"9","10","대구여행","여행","국내여행","대구광역시","452","58","510","20250308"
