SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1153","486","1639","20241029"
"1","2","경주여행","여행","국내여행","경상북도","912","467","1379","20241029"
"2","3","군산여행","여행","국내여행","전라북도","1009","279","1288","20241029"
"3","4","제주여행","여행","국내여행","제주특별자치도","859","340","1199","20241029"
"4","5","여수여행","여행","국내여행","전라남도","712","294","1006","20241029"
"5","6","전주여행","여행","국내여행","전라북도","603","283","886","20241029"
"6","7","강릉여행","여행","국내여행","강원도","554","298","852","20241029"
"7","8","대전여행","여행","국내여행","대전광역시","468","237","705","20241029"
"8","9","속초여행","여행","국내여행","강원도","455","218","673","20241029"
"9","10","통영여행","여행","국내여행","경상남도","422","174","596","20241029"
