SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2049","970","3019","20240715"
"1","2","여수여행","여행","국내여행","전라남도","1580","679","2259","20240715"
"2","3","경주여행","여행","국내여행","경상북도","1041","530","1571","20240715"
"3","4","제주여행","여행","국내여행","제주특별자치도","1071","454","1525","20240715"
"4","5","강릉여행","여행","국내여행","강원도","903","532","1435","20240715"
"5","6","속초여행","여행","국내여행","강원도","910","502","1412","20240715"
"6","7","군산여행","여행","국내여행","전라북도","820","317","1137","20240715"
"7","8","대전여행","여행","국내여행","대전광역시","621","294","915","20240715"
"8","9","남해여행","여행","국내여행","경상남도","573","318","891","20240715"
"9","10","목포여행","여행","국내여행","전라남도","604","284","888","20240715"
