SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1504","239","1743","20240420"
"1","2","여수여행","여행","국내여행","전라남도","1354","147","1501","20240420"
"2","3","제주여행","여행","국내여행","제주특별자치도","1123","172","1295","20240420"
"3","4","경주여행","여행","국내여행","경상북도","1049","166","1215","20240420"
"4","5","군산여행","여행","국내여행","전라북도","1039","106","1145","20240420"
"5","6","전주여행","여행","국내여행","전라북도","720","116","836","20240420"
"6","7","강릉여행","여행","국내여행","강원도","700","116","816","20240420"
"7","8","대전여행","여행","국내여행","대전광역시","614","80","694","20240420"
"8","9","속초여행","여행","국내여행","강원도","616","76","692","20240420"
"9","10","목포여행","여행","국내여행","전라남도","607","80","687","20240420"
