SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1113","613","1726","20250324"
"1","2","경주여행","여행","국내여행","경상북도","1014","466","1480","20250324"
"2","3","제주여행","여행","국내여행","제주특별자치도","867","388","1255","20250324"
"3","4","목포여행","여행","국내여행","전라남도","798","369","1167","20250324"
"4","5","군산여행","여행","국내여행","전라북도","867","289","1156","20250324"
"5","6","강릉여행","여행","국내여행","강원도","612","397","1009","20250324"
"6","7","여수여행","여행","국내여행","전라남도","665","305","970","20250324"
"7","8","전주여행","여행","국내여행","전라북도","578","274","852","20250324"
"8","9","대전여행","여행","국내여행","대전광역시","477","222","699","20250324"
"9","10","속초여행","여행","국내여행","강원도","436","238","674","20250324"
