SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1620","208","1828","20241003"
"1","2","경주여행","여행","국내여행","경상북도","1378","194","1572","20241003"
"2","3","군산여행","여행","국내여행","전라북도","1408","112","1520","20241003"
"3","4","제주여행","여행","국내여행","제주특별자치도","1134","225","1359","20241003"
"4","5","여수여행","여행","국내여행","전라남도","1059","121","1180","20241003"
"5","6","강릉여행","여행","국내여행","강원도","912","118","1030","20241003"
"6","7","전주여행","여행","국내여행","전라북도","899","102","1001","20241003"
"7","8","속초여행","여행","국내여행","강원도","780","113","893","20241003"
"8","9","목포여행","여행","국내여행","전라남도","726","73","799","20241003"
"9","10","대구여행","여행","국내여행","대구광역시","665","91","756","20241003"
