SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1322","193","1515","20250506"
"1","2","군산여행","여행","국내여행","전라북도","1033","106","1139","20250506"
"2","3","경주여행","여행","국내여행","경상북도","889","175","1064","20250506"
"3","4","제주여행","여행","국내여행","제주특별자치도","838","188","1026","20250506"
"4","5","여수여행","여행","국내여행","전라남도","688","131","819","20250506"
"5","6","강릉여행","여행","국내여행","강원도","671","127","798","20250506"
"6","7","전주여행","여행","국내여행","전라북도","592","94","686","20250506"
"7","8","속초여행","여행","국내여행","강원도","527","112","639","20250506"
"8","9","목포여행","여행","국내여행","전라남도","542","90","632","20250506"
"9","10","대전여행","여행","국내여행","대전광역시","512","85","597","20250506"
