SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2660","933","3593","20240605"
"1","2","여수여행","여행","국내여행","전라남도","1542","525","2067","20240605"
"2","3","경주여행","여행","국내여행","경상북도","1302","540","1842","20240605"
"3","4","군산여행","여행","국내여행","전라북도","1166","386","1552","20240605"
"4","5","강릉여행","여행","국내여행","강원도","1009","449","1458","20240605"
"5","6","속초여행","여행","국내여행","강원도","992","414","1406","20240605"
"6","7","제주여행","여행","국내여행","제주특별자치도","955","359","1314","20240605"
"7","8","전주여행","여행","국내여행","전라북도","816","345","1161","20240605"
"8","9","목포여행","여행","국내여행","전라남도","731","291","1022","20240605"
"9","10","대전여행","여행","국내여행","대전광역시","683","231","914","20240605"
