SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1923","857","2780","20240527"
"1","2","경주여행","여행","국내여행","경상북도","1457","695","2152","20240527"
"2","3","여수여행","여행","국내여행","전라남도","1308","519","1827","20240527"
"3","4","제주여행","여행","국내여행","제주특별자치도","1086","476","1562","20240527"
"4","5","강릉여행","여행","국내여행","강원도","877","448","1325","20240527"
"5","6","군산여행","여행","국내여행","전라북도","895","311","1206","20240527"
"6","7","속초여행","여행","국내여행","강원도","779","409","1188","20240527"
"7","8","전주여행","여행","국내여행","전라북도","727","291","1018","20240527"
"8","9","대전여행","여행","국내여행","대전광역시","620","290","910","20240527"
"9","10","목포여행","여행","국내여행","전라남도","605","287","892","20240527"
