SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1691","255","1946","20240427"
"1","2","여수여행","여행","국내여행","전라남도","1279","161","1440","20240427"
"2","3","군산여행","여행","국내여행","전라북도","1128","127","1255","20240427"
"3","4","제주여행","여행","국내여행","제주특별자치도","1077","132","1209","20240427"
"4","5","경주여행","여행","국내여행","경상북도","1032","157","1189","20240427"
"5","6","강릉여행","여행","국내여행","강원도","825","131","956","20240427"
"6","7","전주여행","여행","국내여행","전라북도","772","100","872","20240427"
"7","8","속초여행","여행","국내여행","강원도","651","92","743","20240427"
"8","9","대전여행","여행","국내여행","대전광역시","586","115","701","20240427"
"9","10","목포여행","여행","국내여행","전라남도","561","91","652","20240427"
