SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","2189","544","2733","20240208"
"1","2","제주여행","여행","국내여행","제주특별자치도","1021","431","1452","20240208"
"2","3","여수여행","여행","국내여행","전라남도","1049","278","1327","20240208"
"3","4","경주여행","여행","국내여행","경상북도","926","303","1229","20240208"
"4","5","강릉여행","여행","국내여행","강원도","853","296","1149","20240208"
"5","6","군산여행","여행","국내여행","전라북도","872","186","1058","20240208"
"6","7","전주여행","여행","국내여행","전라북도","654","205","859","20240208"
"7","8","속초여행","여행","국내여행","강원도","675","168","843","20240208"
"8","9","대구여행","여행","국내여행","대구광역시","525","199","724","20240208"
"9","10","목포여행","여행","국내여행","전라남도","420","136","556","20240208"
