SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","929","445","1374","20250314"
"1","2","경주여행","여행","국내여행","경상북도","727","354","1081","20250314"
"2","3","군산여행","여행","국내여행","전라북도","783","293","1076","20250314"
"3","4","제주여행","여행","국내여행","제주특별자치도","721","329","1050","20250314"
"4","5","여수여행","여행","국내여행","전라남도","523","252","775","20250314"
"5","6","강릉여행","여행","국내여행","강원도","522","252","774","20250314"
"6","7","전주여행","여행","국내여행","전라북도","523","204","727","20250314"
"7","8","속초여행","여행","국내여행","강원도","387","193","580","20250314"
"8","9","대전여행","여행","국내여행","대전광역시","386","159","545","20250314"
"9","10","대구여행","여행","국내여행","대구광역시","362","147","509","20250314"
