SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1522","585","2107","20240405"
"1","2","여수여행","여행","국내여행","전라남도","1218","372","1590","20240405"
"2","3","경주여행","여행","국내여행","경상북도","1049","421","1470","20240405"
"3","4","제주여행","여행","국내여행","제주특별자치도","1063","376","1439","20240405"
"4","5","군산여행","여행","국내여행","전라북도","867","226","1093","20240405"
"5","6","강릉여행","여행","국내여행","강원도","620","278","898","20240405"
"6","7","전주여행","여행","국내여행","전라북도","632","213","845","20240405"
"7","8","속초여행","여행","국내여행","강원도","498","183","681","20240405"
"8","9","대구여행","여행","국내여행","대구광역시","481","158","639","20240405"
"9","10","목포여행","여행","국내여행","전라남도","472","153","625","20240405"
