SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1466","679","2145","20240402"
"1","2","경주여행","여행","국내여행","경상북도","1111","616","1727","20240402"
"2","3","제주여행","여행","국내여행","제주특별자치도","1176","511","1687","20240402"
"3","4","여수여행","여행","국내여행","전라남도","1151","379","1530","20240402"
"4","5","군산여행","여행","국내여행","전라북도","763","264","1027","20240402"
"5","6","강릉여행","여행","국내여행","강원도","628","303","931","20240402"
"6","7","전주여행","여행","국내여행","전라북도","656","215","871","20240402"
"7","8","목포여행","여행","국내여행","전라남도","475","251","726","20240402"
"8","9","대구여행","여행","국내여행","대구광역시","488","182","670","20240402"
"9","10","속초여행","여행","국내여행","강원도","468","193","661","20240402"
