SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1582","210","1792","20240511"
"1","2","여수여행","여행","국내여행","전라남도","1142","151","1293","20240511"
"2","3","제주여행","여행","국내여행","제주특별자치도","1036","154","1190","20240511"
"3","4","경주여행","여행","국내여행","경상북도","1049","138","1187","20240511"
"4","5","군산여행","여행","국내여행","전라북도","913","87","1000","20240511"
"5","6","강릉여행","여행","국내여행","강원도","772","134","906","20240511"
"6","7","전주여행","여행","국내여행","전라북도","699","84","783","20240511"
"7","8","속초여행","여행","국내여행","강원도","613","89","702","20240511"
"8","9","대전여행","여행","국내여행","대전광역시","593","84","677","20240511"
"9","10","대구여행","여행","국내여행","대구광역시","568","58","626","20240511"
