SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1216","745","1961","20250414"
"1","2","경주여행","여행","국내여행","경상북도","867","586","1453","20250414"
"2","3","제주여행","여행","국내여행","제주특별자치도","836","414","1250","20250414"
"3","4","전주여행","여행","국내여행","전라북도","693","397","1090","20250414"
"4","5","군산여행","여행","국내여행","전라북도","714","354","1068","20250414"
"5","6","여수여행","여행","국내여행","전라남도","661","388","1049","20250414"
"6","7","강릉여행","여행","국내여행","강원도","634","365","999","20250414"
"7","8","목포여행","여행","국내여행","전라남도","581","322","903","20250414"
"8","9","대전여행","여행","국내여행","대전광역시","505","289","794","20250414"
"9","10","속초여행","여행","국내여행","강원도","464","261","725","20250414"
