SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,AREA_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
"0","1","부산여행","여행","국내여행","부산광역시","1262","539","1801","20241205"
"1","2","제주여행","여행","국내여행","제주특별자치도","702","264","966","20241205"
"2","3","여수여행","여행","국내여행","전라남도","602","271","873","20241205"
"3","4","경주여행","여행","국내여행","경상북도","600","240","840","20241205"
"4","5","강릉여행","여행","국내여행","강원도","519","279","798","20241205"
"5","6","군산여행","여행","국내여행","전라북도","596","178","774","20241205"
"6","7","속초여행","여행","국내여행","강원도","483","237","720","20241205"
"7","8","전주여행","여행","국내여행","전라북도","428","173","601","20241205"
"8","9","대구여행","여행","국내여행","대구광역시","391","141","532","20241205"
"9","10","대전여행","여행","국내여행","대전광역시","369","139","508","20241205"
