순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202001,76427,76427.0
2,경기도,파주시,통일전망대,202001,21156,21156.0
3,경기도,파주시,헤이리예술마을,202001,11752,11752.0
4,경기도,파주시,공릉관광지(하니랜드),202001,6163,6163.0
5,경기도,파주시,경기미래교육 파주캠퍼스,202001,4550,4550.0
6,경기도,파주시,벽초지수목원,202001,2480,2480.0
7,경기도,파주시,서원밸리골프클럽,202001,2190,2190.0
8,경기도,파주시,율곡선생유적지,202001,1984,1984.0
9,경기도,파주시,황희선생유적지,202001,1688,1688.0
10,경기도,파주시,쇠꼴마을,202001,1540,1540.0
11,경기도,파주시,파주삼릉,202001,1452,1452.0
12,경기도,파주시,파주장릉,202001,1207,1207.0
13,경기도,파주시,베스트밸리,202001,1181,1181.0
14,경기도,파주시,파주임실치즈스쿨,202001,252,252.0
15,경기도,파주시,산머루농원,202001,89,89.0
16,경기도,파주시,우농타조농장,202001,88,88.0
17,경기도,파주시,두루뫼박물관,202001,86,86.0
18,경기도,파주시,영집궁시박물관,202001,68,68.0
