업종중분류명,업체명,방문자수,순위
쇼핑,롯데프리미엄아울렛/파주점,332.0,1
쇼핑,신세계프리미엄아울렛/파주점,312.0,2
쇼핑,이마트/파주운정점,71.0,3
쇼핑,홈플러스/파주운정점,57.0,4
쇼핑,운정가구타운,30.0,5
쇼핑,이마트/파주점,24.0,6
쇼핑,롯데쇼핑롭스파주아울렛점,5.0,7
쇼핑,홈플러스/파주문산점,3.0,8
쇼핑,금촌전통시장,3.0,9
쇼핑,이채쇼핑몰,2.0,10
음식,내사랑동까스,18.0,1
음식,더티트렁크,17.0,2
음식,앤드테라스/파주점,15.0,3
음식,평양손만두/파주운정점,14.0,4
음식,훈장골/파주점,9.0,5
음식,해울우렁쌈밥,8.0,6
음식,파주뼈칼국수교하제면소,8.0,7
음식,소플러스/운정점,8.0,8
음식,타샤의정원/[한식],7.0,9
음식,라플란드,7.0,10
문화관광,운정호수공원,33.0,1
문화관광,평화누리,26.0,2
문화관광,퍼스트가든,21.0,3
문화관광,자유로자동차극장,11.0,4
문화관광,메가박스/파주운정,8.0,5
문화관광,오두산통일전망대,6.0,6
문화관광,CGV/파주야당,6.0,7
문화관광,율곡습지공원,5.0,8
문화관광,교하중앙공원,5.0,9
문화관광,소울원,4.0,10
