거리구분명,방문자수,방문자비율
30km 미만,1973203.0,43.19
30km 이상 70km 미만,2043413.0,44.73
70km 이상 140km 미만 ,229308.0,5.02
140km 이상 190km 미만,87174.0,1.91
190km 이상 240km 미만,42114.0,0.92
240km 이상 ,193578.0,4.24
