방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.6,2.4
60~69세,8.8,5.4
50~59세,13.0,8.3
40~49세,11.4,6.7
30~39세,10.5,6.9
20~29세,12.0,6.4
10~19세,2.5,2.1
0~9세,0.6,0.6
