유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,12.7,36.7
기타관광,기타관광,12.7,63.3
레저스포츠,기타레저스포츠,8.1,6.0
레저스포츠,수상레저스포츠,8.1,4.5
레저스포츠,육상레저스포츠,8.1,89.5
문화관광,도시/지역문화관광,11.2,0.0
문화관광,기타문화관광지,11.2,4.7
문화관광,도시공원,11.2,31.5
문화관광,랜드마크관광,11.2,5.4
문화관광,복합관광시설,11.2,5.9
문화관광,테마공원,11.2,20.9
문화관광,레저스포츠시설,11.2,1.7
문화관광,공연시설,11.2,19.0
문화관광,전시시설,11.2,10.8
쇼핑,쇼핑몰,14.0,93.7
쇼핑,시장,14.0,4.7
쇼핑,기타쇼핑시설,14.0,1.6
숙박,기타숙박,4.8,0.0
숙박,모텔,4.8,30.8
숙박,펜션/민박,4.8,17.3
숙박,호스텔,4.8,3.1
숙박,호텔,4.8,27.3
숙박,캠핑,4.8,21.5
역사관광,역사유물,1.4,2.2
역사관광,역사유적지,1.4,30.3
역사관광,종교성지,1.4,67.4
음식,간이음식,46.5,9.3
음식,외국식,46.5,6.6
음식,음식점기타,46.5,0.3
음식,전문음식,46.5,16.8
음식,한식,46.5,35.0
음식,카페/찻집,46.5,32.0
자연관광,자연경관(하천/해양),1.0,28.1
자연관광,자연경관(산),1.0,46.6
자연관광,자연공원,1.0,25.3
체험관광,농/산/어촌체험,0.3,60.2
체험관광,웰니스관광,0.3,35.1
체험관광,공예체험,0.3,4.8
