업종중분류명,현지인 검색비율,외지인 검색비율
음식,54.8,44.1
기타관광,12.9,12.7
문화관광,11.6,11.1
쇼핑,9.4,15.3
레저스포츠,4.4,9.2
숙박,4.2,5.0
역사관광,1.3,1.4
자연관광,1.0,1.0
체험관광,0.4,0.2
