기초지자체,카테고리중분류명 ,기초지자체 검색건수,기초지자체 검색건수 비율,중분류 검색건수,중분류 검색건수 비율
포천시,자연관광,3871782,2.5,291637,7.5
포천시,체험관광,3871782,2.5,140631,3.6
하남시,기타관광,5592489,3.6,5471,0.1
하남시,레저스포츠,5592489,3.6,211314,3.8
하남시,문화관광,5592489,3.6,542937,9.7
하남시,쇼핑,5592489,3.6,2264067,40.5
하남시,숙박,5592489,3.6,74856,1.3
하남시,역사관광,5592489,3.6,19532,0.3
하남시,음식,5592489,3.6,2468367,44.1
하남시,자연관광,5592489,3.6,3851,0.1
하남시,체험관광,5592489,3.6,2094,0.0
화성시,기타관광,10355469,6.7,631931,6.1
화성시,레저스포츠,10355469,6.7,650945,6.3
화성시,문화관광,10355469,6.7,1078022,10.4
화성시,쇼핑,10355469,6.7,832997,8.0
화성시,숙박,10355469,6.7,630756,6.1
화성시,역사관광,10355469,6.7,184144,1.8
화성시,음식,10355469,6.7,5619206,54.3
화성시,자연관광,10355469,6.7,579918,5.6
화성시,체험관광,10355469,6.7,147550,1.4
