기초지자체,검색건수
수원시 장안구,2750558
수원시 권선구,3508767
수원시 팔달구,3691984
수원시 영통구,3657578
성남시 수정구,1751904
성남시 중원구,632785
성남시 분당구,6434912
의정부시,2738653
안양시 만안구,1110908
안양시 동안구,1652509
부천시,998123
부천시 원미구,2023685
부천시 소사구,549431
부천시 오정구,408733
광명시,3537282
평택시,5057805
동두천시,626239
안산시 상록구,1355237
안산시 단원구,3407505
고양시 덕양구,6291583
고양시 일산동구,4332043
고양시 일산서구,3053941
과천시,1571905
구리시,2052369
남양주시,8686888
오산시,1726646
시흥시,4807670
군포시,883415
의왕시,2376517
하남시,5592489
용인시 처인구,6154383
용인시 기흥구,4659038
용인시 수지구,2721363
파주시,8015901
이천시,3560038
안성시,3422021
김포시,5506610
화성시,10355469
광주시,4103443
양주시,2818296
포천시,3871782
여주시,3646094
연천군,1011951
가평군,3826503
양평군,2958070
