기준년월,기초지자체,중분류,소비액(천원)
202110,파주시,관광총소비,777593.0
202111,파주시,관광총소비,721419.0
202112,파주시,관광총소비,684636.0
202201,파주시,관광총소비,506747.0
202202,파주시,관광총소비,479094.0
202203,파주시,관광총소비,661173.0
202204,파주시,관광총소비,898769.0
202205,파주시,관광총소비,1067629.0
202206,파주시,관광총소비,1330987.0
202207,파주시,관광총소비,1525944.0
202208,파주시,관광총소비,1446830.0
202209,파주시,관광총소비,1566905.0
202110,파주시,호텔,1232.0
202110,파주시,기타숙박,56989.0
202110,파주시,육상운송,11865.0
202110,파주시,대형쇼핑몰,459544.0
202110,파주시,레저용품쇼핑,7222.0
202110,파주시,기타관광쇼핑,121438.0
202110,파주시,관광유원시설,710.0
202110,파주시,골프장,28542.0
202110,파주시,기타레저,3583.0
202110,파주시,문화서비스,980.0
202110,파주시,의료관광,12770.0
202110,파주시,뷰티,2772.0
202110,파주시,일반외식업,60053.0
202110,파주시,제과음료업,9891.0
202111,파주시,호텔,16007.0
202111,파주시,기타숙박,36606.0
202111,파주시,육상운송,12764.0
202111,파주시,대형쇼핑몰,357062.0
202111,파주시,레저용품쇼핑,10101.0
202111,파주시,기타관광쇼핑,127730.0
202111,파주시,관광유원시설,584.0
202111,파주시,골프장,28654.0
202111,파주시,기타레저,3830.0
202111,파주시,문화서비스,672.0
202111,파주시,의료관광,16359.0
202111,파주시,뷰티,2882.0
202111,파주시,일반외식업,94075.0
202111,파주시,제과음료업,14092.0
202112,파주시,호텔,16584.0
202112,파주시,기타숙박,45210.0
202112,파주시,육상운송,10399.0
202112,파주시,대형쇼핑몰,316625.0
202112,파주시,레저용품쇼핑,4865.0
202112,파주시,기타관광쇼핑,157922.0
202112,파주시,관광유원시설,327.0
202112,파주시,골프장,13958.0
202112,파주시,기타레저,1302.0
202112,파주시,문화서비스,563.0
202112,파주시,의료관광,15927.0
202112,파주시,뷰티,11841.0
202112,파주시,일반외식업,79080.0
202112,파주시,제과음료업,10032.0
202201,파주시,호텔,21523.0
202201,파주시,기타숙박,16343.0
202201,파주시,육상운송,6347.0
202201,파주시,대형쇼핑몰,280610.0
202201,파주시,레저용품쇼핑,2855.0
202201,파주시,기타관광쇼핑,86115.0
202201,파주시,관광유원시설,313.0
202201,파주시,골프장,5805.0
202201,파주시,기타레저,6475.0
202201,파주시,문화서비스,486.0
202201,파주시,의료관광,7495.0
202201,파주시,뷰티,3287.0
202201,파주시,일반외식업,60379.0
202201,파주시,제과음료업,8714.0
202202,파주시,호텔,3195.0
202202,파주시,기타숙박,18276.0
202202,파주시,육상운송,6384.0
202202,파주시,렌터카,120.0
202202,파주시,대형쇼핑몰,297034.0
202202,파주시,레저용품쇼핑,1454.0
202202,파주시,기타관광쇼핑,68893.0
202202,파주시,관광유원시설,245.0
202202,파주시,골프장,16639.0
202202,파주시,기타레저,3472.0
202202,파주시,문화서비스,527.0
202202,파주시,의료관광,6189.0
202202,파주시,뷰티,6027.0
202202,파주시,일반외식업,42862.0
202202,파주시,제과음료업,7777.0
