대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,대형쇼핑몰,74.2,69.4
쇼핑업,레저용품쇼핑,74.2,0.7
쇼핑업,기타관광쇼핑,74.2,29.9
숙박업,호텔,4.6,32.1
숙박업,기타숙박,4.6,67.9
숙박업,캠핑장/펜션,4.6,0.0
식음료업,일반외식업,11.8,82.4
식음료업,제과음료업,11.8,17.6
여가서비스업,관광유원시설,4.1,2.0
여가서비스업,골프장,4.1,71.3
여가서비스업,기타레저,4.1,23.8
여가서비스업,문화서비스,4.1,2.9
여행업,여행업,0.0,100.0
운송업,육상운송,2.2,99.0
운송업,렌터카,2.2,1.0
의료웰니스업,의료관광,3.2,61.4
의료웰니스업,뷰티,3.2,38.6
