지역명,비율(%)
광탄면,2.7
교하동,40.6
금촌1동,1.5
금촌2동,2.9
금촌3동,0.2
문산읍,5.3
법원읍,1.1
운정1동,1.3
운정2동,1.1
운정3동,4.0
운정4동,0.5
운정5동,0.6
운정6동,0.0
월롱면,1.0
장단면,3.6
적성면,0.3
조리읍,0.8
탄현면,32.2
파주읍,0.2
파평면,0.1
