기초지자체,중분류,소비액(천원)
경기도,관광총소비,1482799.0
경기도,관광총소비,6038452.0
경기도,관광총소비,2.4057491E7
경기도,관광총소비,1.762642E7
경기도,관광총소비,3367529.0
경기도,관광총소비,1422757.0
경기도,관광총소비,4.4968585E7
경기도,관광총소비,5280780.0
경기도,관광총소비,986775.0
경기도,관광총소비,6606347.0
경기도,관광총소비,1.2266569E7
경기도,관광총소비,1004138.0
경기도,관광총소비,327875.0
경기도,관광총소비,2077360.0
경기도,관광총소비,9.2713214E7
경기도,관광총소비,1.1599742E7
경기도,관광총소비,2291524.0
경기도,관광총소비,3556700.0
경기도,관광총소비,6441151.0
경기도,관광총소비,7546347.0
경기도,관광총소비,3948716.0
경기도,관광총소비,686815.0
경기도,관광총소비,1585653.0
경기도,관광총소비,4185288.0
경기도,관광총소비,2400214.0
경기도,관광총소비,3896453.0
경기도,관광총소비,1358226.0
경기도,관광총소비,4488942.0
경기도,관광총소비,4621896.0
경기도,관광총소비,7750034.0
경기도,관광총소비,9501216.0
경기도,관광총소비,7950674.0
경기도,관광총소비,1.1667726E7
경기도,관광총소비,5355161.0
경기도,관광총소비,7840564.0
경기도,관광총소비,7127051.0
경기도,관광총소비,1.3523702E7
경기도,관광총소비,2311791.0
경기도,관광총소비,1688749.0
경기도,관광총소비,2065025.0
경기도,관광총소비,6991829.0
경기도,관광총소비,158494.0
경기도,관광총소비,1764281.0
경기도,관광총소비,1112153.0
