기준연월,동반유형명,언급건수
202103,기타가족,7435
202103,부모님,3191
202103,친구,3137
202103,자녀,3016
202103,회사동료,2711
202103,배우자,1557
202103,싱글,1301
202103,연인,1246
202103,학생,593
