순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202110,393,393.0
2,경기도,파주시,통일전망대,202110,210,210.0
3,경기도,파주시,헤이리예술마을,202110,55,55.0
4,경기도,파주시,황포돛배,202110,47,47.0
5,경기도,파주시,율곡선생유적지,202110,42,42.0
6,경기도,파주시,우농타조농장,202110,4,4.0
7,경기도,파주시,파주삼릉,202110,3,3.0
7,경기도,파주시,파주장릉,202110,3,3.0
