순위,관광지ID,관광지명,분류
30,877f0160d905ac319322724a9592986b,파주공룡박물관,문화관광
31,c7ac95f733903a098f4d8230d8a913eb,CGV/파주야당,문화관광
32,04a0154e9869db9bf645448404707719,파주리조트골프클럽PRGC,레저스포츠
33,c1816c5022f03ebfd494cbdac2b4814a,파주CC,레저스포츠
34,d6a972d506b2b7e7e7d680d25c30463a,하니랜드,문화관광
35,0f3d8c6ee51560fd404daedea8769c74,황포돛배나루터,기타관광
36,1aabc6f644c6f6a94ca0b88aceb07cfd,마장호수공원,문화관광
37,2da3df196ff25fa5183cddba80a6df9b,심학산,자연관광
38,e7e183dedfbef97f99b152c3974a7072,노스팜CC,레저스포츠
39,9a1b61a4967c1ba371d13a2aaddb6e34,스마트KU골프파빌리온,레저스포츠
40,1ce722f6c6fefa534664cfabb2019f22,서서울CC,레저스포츠
41,a91da1956b3b8924da77f30f09309756,국립민속박물관/파주,문화관광
42,ab877cfe858382acf39ee3115fe1053e,타이거CC,레저스포츠
43,2bd3e31e23a2da4ba897320c17e49f3a,파평코스모스축제,문화관광
44,de19ce157c4210ec93d222a2823dd90f,서원밸리CC,레저스포츠
45,382f4c95b87ee7b8a0ed07179b22f27f,금촌전통시장,쇼핑
46,b0d9f0a100c3f2bb7b28837a82740dc2,퍼스트가든빛축제,문화관광
47,750985c562e39bebf6af094dbfc0a121,파주삼릉,역사관광
48,c664700bd14e49b091436d84378c0391,케이힐스더테라스,숙박
49,1dbb14fa93954417628146ea816c62a5,소울원,문화관광
50,c821a7f19ce56bc0a7cd7777a19835b1,파주팜랜드,기타관광
51,c8a2d04e988792042ca48dfde9d1407f,오성골프클럽,레저스포츠
52,41e00ec5d68c9ee6425522aab554349d,문산자유시장,쇼핑
53,2b098d70917d04227685a908e784293b,장릉,역사관광
54,3b8daccd597a508de28c1f45dd56fed1,아미가골프장,레저스포츠
55,e8a59e615752b49be6eac5e5f6ed1154,파인빌골프클럽,레저스포츠
56,33642af7db41e92b196068bd27e1e357,콩치노콩크리트,문화관광
57,fecd9849410ecc9e0090ee03c761347f,화석정,역사관광
58,046c8d92a8e2298c2f5755a455d64149,평화랜드,문화관광
59,534c2c3f1fd9253bd3813f192d54b026,파주스피드파크,레저스포츠
60,e2b7c908078f80d58777a8ffe2b4c1a9,메가박스/파주출판도시,문화관광
61,4cc3ba145498006d92d61503d06d3031,롯데시네마/파주운정,문화관광
62,bc680d582b21d2f20c185abbe4ceed90,지지향게스트하우스,숙박
63,ad80a68c67a5d5f2942f5a0b5e2691c0,반구정,역사관광
64,f7688e9e63207c3f02fa33de4729c77f,베스트밸리GC,레저스포츠
65,165a47bd76c84650066fa9a5d511954b,마장호수전망대,문화관광
66,0ef8b4527ee20b9330955f845ec78ed5,파크뷰테라스,숙박
67,1b9928eeaf2065c6406dca7fd58517c9,마장호수,자연관광
68,00d198d86f7024b1d0a696295f668978,운정가구타운,쇼핑
69,33ef3f78240dadd22b84766d3f98ab43,골든힐호텔,숙박
70,d80e1b8c379a799fdd353e52749a83a6,미즈호텔,숙박
71,6410680407dae985a4da7fbc76d944fa,파주NFC,레저스포츠
72,d38b03ce3f2dab83468c6b25e62298a9,운정건강공원,문화관광
73,1e2e763c5f4343a048cbab40d87e3029,파주J퍼블릭GC,레저스포츠
74,bc78c14553ba3a0161e53727d724104e,메가박스/파주운정,문화관광
75,ef246a43a091b957ca0351f2b97dc7e1,헤이리농원,체험관광
76,5f4eb09e90278cec45c8d49b8fc5dc4e,타조마을,체험관광
77,45b3375e636d8bfeb1a33149c5e671dc,파주출판단지근린공원,문화관광
78,85a33edd9d7ef8c4b9e2b18e697b5390,동화힐링캠프,숙박
79,ffaa593b638f70053ceed146fbe7c76e,판문점,기타관광
80,bec65ddf43bb6fe97df92e7a7abce25b,아지동테마파크,문화관광
81,6fa2aa22c0de9d24cf98fe0096ea5feb,호텔시에나,숙박
82,91d10c23191ef97428aee613b4f2e677,장산전망대,문화관광
83,2d43ccf8a3c5e63f188fc2f5574f40a6,애플샤인농원,체험관광
84,68a40fc5d3af9364317e6617c5ef97b6,교하중앙공원,문화관광
85,ea9af19872ea6f89502ae63c8b83367a,명필름아트센터,문화관광
86,de535e267c10a7c88f2ed4283e8484da,검단사,역사관광
87,a59e91fcc4ddff3b4af6bad00cbb88af,애룡호,자연관광
88,e03bd741ad8e02f4bededc7d785a224e,쥬라리움/파주점,문화관광
89,dc25a1734524deec5305530844283289,파주라기파크,기타관광
90,7226bc7e45d480a9c51af440aca69260,문산노을길,문화관광
91,e2ef2bf062004358fc41066d7e6b9918,마리호텔,숙박
92,fcb65b55359c8d8003b516c29e5a11c1,금촌통일시장,쇼핑
93,e9f42735eb7b23daadffee64c70dc06d,파만장,레저스포츠
94,95629f5c4b4702f552caef72d5c3a470,신세계팩토리스토어/파주점,쇼핑
95,f8faa6e49def32f1fc6ebe4de3d957b1,어린이미술관자란다,문화관광
96,60914233f0d72e6200d9cae529a1c2fd,심학산둘레길,기타관광
97,9a1a8f98f7eeca4cc1a252aff197052c,제3땅굴,기타관광
98,290743fe9c79ed81834fd041235008dc,낙하리화실,문화관광
99,960a133e5e452ad72bc27a9701c308bd,메가박스/파주금촌,문화관광
100,9982227bb315a9f178ea2119c12ab7e3,잇츠콜라박물관,문화관광
