순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202110,115038,115038.0
2,경기도,파주시,벽초지수목원,202110,69973,69973.0
3,경기도,파주시,퍼스트가든,202110,61318,61318.0
4,경기도,파주시,헤이리예술마을,202110,29850,29850.0
5,경기도,파주시,공릉관광지(하니랜드),202110,19275,19275.0
6,경기도,파주시,율곡선생유적지,202110,14551,14551.0
7,경기도,파주시,서서울컨트리클럽,202110,12048,12048.0
8,경기도,파주시,통일전망대,202110,11758,11758.0
9,경기도,파주시,파주삼릉,202110,9074,9074.0
10,경기도,파주시,서원밸리골프클럽,202110,8192,8192.0
11,경기도,파주시,소울원,202110,5021,5021.0
12,경기도,파주시,황희선생유적지,202110,4740,4740.0
13,경기도,파주시,경기미래교육 파주캠퍼스,202110,4738,4738.0
14,경기도,파주시,베스트밸리,202110,4453,4453.0
15,경기도,파주시,파주장릉,202110,4127,4127.0
16,경기도,파주시,황포돛배,202110,2962,2962.0
17,경기도,파주시,우농타조농장,202110,2954,2954.0
18,경기도,파주시,쇠꼴마을,202110,600,600.0
19,경기도,파주시,산머루농원,202110,514,514.0
20,경기도,파주시,영집궁시박물관,202110,238,238.0
21,경기도,파주시,두루뫼박물관,202110,181,181.0
