순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202003,108668,108668.0
2,경기도,파주시,벽초지수목원,202003,12872,12872.0
3,경기도,파주시,공릉관광지(하니랜드),202003,8323,8323.0
4,경기도,파주시,서서울컨트리클럽,202003,8020,8020.0
5,경기도,파주시,서원밸리골프클럽,202003,7465,7465.0
6,경기도,파주시,파주삼릉,202003,6120,6120.0
7,경기도,파주시,율곡선생유적지,202003,5340,5340.0
8,경기도,파주시,황희선생유적지,202003,3822,3822.0
9,경기도,파주시,경기미래교육 파주캠퍼스,202003,3745,3745.0
10,경기도,파주시,소울원,202003,3261,3261.0
11,경기도,파주시,파주장릉,202003,2825,2825.0
12,경기도,파주시,베스트밸리,202003,2327,2327.0
13,경기도,파주시,황포돛배,202003,613,613.0
14,경기도,파주시,헤이리예술마을,202003,568,568.0
15,경기도,파주시,우농타조농장,202003,42,42.0
16,경기도,파주시,산머루농원,202003,28,28.0
