업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,3610,4136,-12.7,33148,23861,38.9
레저스포츠,1803,1577,14.3,33148,23861,38.9
문화관광,2846,2487,14.4,33148,23861,38.9
쇼핑,7012,3752,86.9,33148,23861,38.9
숙박,813,479,69.7,33148,23861,38.9
역사관광,418,499,-16.2,33148,23861,38.9
음식,16096,10370,55.2,33148,23861,38.9
자연관광,393,537,-26.8,33148,23861,38.9
체험관광,157,24,554.2,33148,23861,38.9
