업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
레저스포츠,80,58,37.9,15255,9560,59.6
문화관광,2801,680,311.9,15255,9560,59.6
쇼핑,2035,1356,50.1,15255,9560,59.6
숙박,683,391,74.7,15255,9560,59.6
역사관광,7,2,250.0,15255,9560,59.6
음식,9577,7016,36.5,15255,9560,59.6
자연관광,38,48,-20.8,15255,9560,59.6
체험관광,34,9,277.8,15255,9560,59.6
