소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.1,0.8
60대,6.4,3.6
50대,14.2,9.1
40대,16.6,9.9
30대,15.8,9.8
20대,6.7,5.4
10대,0.1,0.1
