업종대분류명,업종중분류명,중분류 소비액(천원)
쇼핑업,대형쇼핑몰,297034.0
쇼핑업,레저용품쇼핑,1454.0
쇼핑업,기타관광쇼핑,68893.0
숙박업,호텔,3195.0
숙박업,기타숙박,18276.0
식음료업,일반외식업,42862.0
식음료업,제과음료업,7777.0
여가서비스업,관광유원시설,245.0
여가서비스업,골프장,16639.0
여가서비스업,기타레저,3472.0
여가서비스업,문화서비스,527.0
운송업,육상운송,6384.0
운송업,렌터카,120.0
의료웰니스업,의료관광,6189.0
의료웰니스업,뷰티,6027.0
