소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.3,0.8
60대,7.2,4.1
50대,14.7,8.8
40대,17.1,9.7
30대,15.4,8.9
20대,6.1,5.0
10대,0.2,0.1
