지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1215.0,2.99
41113,수원시 권선구,1353.0,2.94
41115,수원시 팔달구,728.0,2.65
41117,수원시 영통구,1124.0,2.98
41131,성남시 수정구,1260.0,3.02
41133,성남시 중원구,1297.0,2.83
41135,성남시 분당구,997.0,3.01
41150,의정부시,1525.0,2.86
41171,안양시 만안구,1301.0,2.93
41173,안양시 동안구,1679.0,3.08
41190,부천시,1545.0,2.95
41210,광명시,958.0,2.89
41220,평택시,2291.0,3.0
41250,동두천시,1412.0,2.75
41271,안산시 상록구,1730.0,2.91
41273,안산시 단원구,1265.0,2.76
41281,고양시 덕양구,903.0,2.89
41285,고양시 일산동구,947.0,2.92
41287,고양시 일산서구,905.0,2.86
41290,과천시,595.0,2.88
41310,구리시,700.0,2.85
41360,남양주시,1285.0,2.85
41370,오산시,1570.0,2.94
41390,시흥시,1161.0,2.87
41410,군포시,1505.0,2.96
41430,의왕시,1151.0,3.05
41450,하남시,774.0,2.92
41461,용인시 처인구,1233.0,2.75
41463,용인시 기흥구,1192.0,2.95
41465,용인시 수지구,1417.0,2.98
41480,파주시,1215.0,2.83
41500,이천시,1285.0,2.89
41550,안성시,1124.0,2.8
41570,김포시,1464.0,2.97
41590,화성시,1588.0,2.88
41610,광주시,1038.0,2.82
41630,양주시,1185.0,2.76
41650,포천시,1190.0,2.51
41670,여주시,997.0,2.63
41800,연천군,1137.0,2.49
41820,가평군,998.0,2.26
41830,양평군,817.0,2.43
