순위,관광지ID,업소명,분류
42,737857df34f7b244b683799e660d9fd7,심학산장어,전문음식
43,ef3d7596e0d90b9615d64f0481abefcb,타샤의정원[한식],한식
44,120484ff236a194fb95830dc6acd3bbf,잇탈리헤이리점,외국식
45,0f84cd564fbb81d763cb9c7dc134b4c1,은하장[중식],외국식
46,f9ab148ed48809e8c32941f3e2afb592,복많네해물칼국수파주출판단지본점,한식
47,088fe4582c122099f82164a7fd11729f,신간짬뽕금촌점 [중식],외국식
48,3ae3d535ac54cc1b4ae406963c4c3a33,카페8794,카페/찻집
49,9a47e6d29414f4fc652f1e727b9d4c4d,모쿠슈라1호점,전문음식
50,08ab684925efd205ca4e2338b843c1d1,류재은베이커리카페헤이리아트밸리점,간이음식
51,f6e394726cd758459b5882f64c2c6337,금촌야식,한식
52,65519b689137e2e8134ce656738f6fb5,국물없는우동,외국식
53,6fbd5ff085952a5abac284b6883e30fa,밀크북,카페/찻집
54,62138cde01f1ce7f817b2d68e203387d,황인용뮤직스페이스카메라타,카페/찻집
55,f9a93a4fc062175e200f25c06373c532,언칼국수금촌본점,한식
56,850f95e73ff69b5b0dd61f8bd002eee7,오두산막국수본점,한식
57,9108f498e83c548fa2d745f4d6b5a2f1,뇌조리국수집,한식
58,4526aedcc8f57eb22375825652adde13,프로방스베이커리카페,간이음식
59,4aaee966bd76a8d4f9ce7ad11826b9a4,토향,한식
60,e6ce3ea99bbf8c6ea1855aaaaa3676bb,개성손만두파주점,한식
60,1eae1e01b893ef1e9909f6a5d2fea8f1,전국목장연합,한식
62,67bed2bdc8ff02441344b37082edf397,교하정,한식
63,4dadd1c9700b53cc3022d2c0e204e6fb,옛날시골밥상[한식],한식
64,c7854514c1ab5d213113de0aca09eaf1,심학산뜨락,한식
65,39218b1c1b62676b65bbedb7effdea3d,최고야손해물짬뽕[중식],외국식
66,2b83c60b1eeb03b3ea9ceb1288807727,류재은베이커리,간이음식
67,c3c2e4e6bf13e664d0affbf723dd14ae,초계탕,한식
68,8bdd5cbf077c9eb901a98624ccd10532,좋은날좋은떡영의정인절미,간이음식
69,4165cc34321753d0a2fd2abdab7f0ec9,밀밭식당,한식
70,5f6f2ee8fe37115f1e8cca7244dfe4aa,용궁칼국수파주본점,한식
71,29b91ecc5b08cf66cea8be0760ee7caa,포비DMZ점,카페/찻집
72,098eef7e2a6973760569e05fa8efdf2a,스타벅스파주금촌역점,카페/찻집
73,93369a122f2e7b1fd52b5ad9ebb4f875,버거킹금촌역점,간이음식
74,d47cd450de327a29b3815ecadfb796ef,매료,전문음식
74,96b3759a49fc73efddf7c74ce0c88188,아이노스,카페/찻집
74,22c7545017c005f942885bc8a3e2cd69,장어명가지중해,전문음식
77,52d3bf77601a9b22b58ef6565fb47f62,아다마스253,전문음식
78,1ab8c40c13c1a089b29e636eff6b82ae,커피빈파주DT점,카페/찻집
79,0fd354dbc0e1e8b44cd64761efa7d562,별난명태본점,한식
80,2aa3609360bea13f635a5f7bf91ea318,무고레,한식
80,062786a01fd2f46a693e0b991bf2366e,전주웰빙새알팥죽,간이음식
82,58b77483c5ee3733e6f573d26e5a55bd,초원오리농장,전문음식
83,a92b5f46ac324d622594f9442aa7e600,억부인국수집,한식
83,06ba69555a8d61cab0f40323dee5210d,단골집,한식
85,75b160c3097c65053a28b4169226ece7,생선굽는마을,한식
86,7e9400eaa02c655471fb55461c134136,로빈의숲,한식
87,e9eea85cdb0cb4b14741e59c36050b89,구복만두파주직영점,한식
88,dc3ba5513d3e0b53590e0de6ecb47781,꼿그이,전문음식
89,0786cf016ba88c5ada0e0b87e6526e8c,일산칼국수파주점,한식
90,d1cae4628d6d737dee9d2eece6703915,피자헛파주운정점,간이음식
91,5f84658bd256c59ab549c1521840e9cb,산에들에,한식
92,47c47a450c637ee4492d34f30f206863,양평해장국방축점,한식
93,5dfa8092f22ad2728b6f2e7c2c47cd2c,능골매운탕,한식
94,fc6b3005546110626b40ac3d7d98bd03,샘뜰두부집,전문음식
95,3a6c3504fff5351cf14f44a2828f7a09,DMZ장단콩두부마을,한식
95,efdd66797bcec11d0fe35d032b88e309,파주장단콩두부,한식
97,7ef3bd154b7a2a7b9dec8dfaa3415e51,임진강수라상,전문음식
98,989a20b7320f274dbbc27a63dddc2d36,투썸플레이스파주봉일천점,카페/찻집
99,8c516b42af39ec2736aa93c2d459b888,브롯,전문음식
100,801148329936c8cf1ed883837663aba9,오누테,카페/찻집
