순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202101,84228,84228.0
2,경기도,파주시,헤이리예술마을,202101,23750,23750.0
3,경기도,파주시,퍼스트가든,202101,15682,15682.0
4,경기도,파주시,공릉관광지(하니랜드),202101,6796,6796.0
5,경기도,파주시,벽초지수목원,202101,5567,5567.0
6,경기도,파주시,황희선생유적지,202101,3331,3331.0
7,경기도,파주시,파주삼릉,202101,2772,2772.0
8,경기도,파주시,통일전망대,202101,2699,2699.0
9,경기도,파주시,서서울컨트리클럽,202101,2530,2530.0
10,경기도,파주시,율곡선생유적지,202101,2055,2055.0
11,경기도,파주시,서원밸리골프클럽,202101,1855,1855.0
12,경기도,파주시,경기미래교육 파주캠퍼스,202101,1557,1557.0
13,경기도,파주시,파주장릉,202101,1222,1222.0
14,경기도,파주시,우농타조농장,202101,1210,1210.0
15,경기도,파주시,소울원,202101,798,798.0
16,경기도,파주시,쇠꼴마을,202101,620,620.0
17,경기도,파주시,베스트밸리,202101,577,577.0
18,경기도,파주시,산머루농원,202101,108,108.0
19,경기도,파주시,두루뫼박물관,202101,57,57.0
20,경기도,파주시,영집궁시박물관,202101,53,53.0
