유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,54.2,11.4
음식,외국식,54.2,8.2
음식,음식점기타,54.2,0.2
음식,전문음식,54.2,17.2
음식,카페/찻집,54.2,33.8
음식,한식,54.2,29.3
쇼핑,시장,17.6,2.6
쇼핑,쇼핑몰,17.6,95.1
쇼핑,기타쇼핑시설,17.6,2.2
기타관광,기타관광,9.7,100.0
문화관광,테마공원,9.0,3.5
문화관광,전시시설,9.0,8.7
문화관광,복합관광시설,9.0,5.2
문화관광,레저스포츠시설,9.0,3.8
문화관광,랜드마크관광,9.0,4.1
문화관광,도시공원,9.0,39.0
문화관광,기타문화관광지,9.0,6.1
문화관광,공연시설,9.0,29.5
레저스포츠,육상레저스포츠,3.4,88.5
레저스포츠,수상레저스포츠,3.4,9.7
레저스포츠,기타레저스포츠,3.4,1.8
숙박,콘도미니엄,3.2,0.8
숙박,호텔,3.2,41.6
숙박,호스텔,3.2,0.6
숙박,펜션/민박,3.2,0.2
숙박,캠핑,3.2,31.4
숙박,모텔,3.2,24.9
숙박,기타숙박,3.2,0.5
역사관광,역사유물,1.5,0.2
역사관광,역사유적지,1.5,24.8
역사관광,종교성지,1.5,75.0
자연관광,자연경관(산),1.0,73.0
자연관광,자연경관(하천/해양),1.0,9.5
자연관광,자연공원,1.0,17.5
체험관광,농/산/어촌체험,0.5,95.1
체험관광,웰니스관광,0.5,4.9
