업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,51.9,2.9
쇼핑업,기타관광쇼핑,51.9,31.8
쇼핑업,대형쇼핑몰,51.9,65.3
숙박업,호텔,0.6,11.9
숙박업,캠핑장/펜션,0.6,4.1
숙박업,기타숙박,0.6,84.0
식음료업,일반외식업,24.0,79.0
식음료업,제과음료업,24.0,21.0
여가서비스업,관광유원시설,10.2,5.2
여가서비스업,골프장,10.2,76.8
여가서비스업,기타레저,10.2,13.3
여가서비스업,문화서비스,10.2,4.7
여행업,여행업,0.0,100.0
운송업,렌터카,12.3,0.1
운송업,육상운송,12.3,99.9
의료웰니스업,의료관광,1.0,20.4
의료웰니스업,뷰티,1.0,79.6
