소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.3,0.8
60대,6.6,4.0
50대,14.0,9.1
40대,16.3,9.7
30대,15.4,9.5
20대,6.9,5.5
10대,0.1,0.1
