거리구분명,방문자수,방문자비율
30km 미만,1447898.0,41.92
30km 이상 70km 미만,1579599.0,45.74
70km 이상 140km 미만 ,185570.0,5.37
140km 이상 190km 미만,67578.0,1.96
190km 이상 240km 미만,34632.0,1.0
240km 이상 ,138316.0,4.0
