방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.4,2.4
60~69세,8.1,4.8
50~59세,12.6,7.7
40~49세,11.3,6.5
30~39세,10.7,7.1
20~29세,12.6,7.2
10~19세,2.8,2.4
0~9세,0.6,0.7
