업종중분류명,지역명,비율
음식,인천광역시 서구,49.5
문화관광,인천광역시 서구,15.3
레저스포츠,인천광역시 서구,15.0
쇼핑,인천광역시 서구,11.8
기타관광,인천광역시 서구,4.7
자연관광,인천광역시 서구,1.8
숙박,인천광역시 서구,1.5
역사관광,인천광역시 서구,0.2
체험관광,인천광역시 서구,0.0
