업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
레저스포츠,150,128,17.2,20420,18823,8.5
문화관광,4214,3898,8.1,20420,18823,8.5
쇼핑,1796,2543,-29.4,20420,18823,8.5
숙박,1266,803,57.7,20420,18823,8.5
역사관광,2,3,-33.3,20420,18823,8.5
음식,12924,11361,13.8,20420,18823,8.5
자연관광,48,48,0.0,20420,18823,8.5
체험관광,20,39,-48.7,20420,18823,8.5
