업종중분류명,업체명,방문자수,순위
음식,본갈비,83.0,1
음식,설문커피,44.0,2
음식,일산칼국수/본점,37.0,3
음식,옐로커피,29.0,4
음식,포레스트아웃팅스/일산,25.0,5
음식,맥도날드/중산DT점,22.0,6
음식,우리동네가든,20.0,7
음식,가나안덕/일산본점,18.0,8
음식,돈까스클럽/일산동구점,17.0,9
음식,등촌샤브칼국수/일산본점,14.0,10
쇼핑,코스트코홀세일/일산점,168.0,1
쇼핑,라페스타,144.0,2
쇼핑,벨라시타,76.0,3
쇼핑,롯데백화점/일산점,48.0,4
쇼핑,뉴코아아울렛/일산점,45.0,5
쇼핑,이마트/풍산점,34.0,6
쇼핑,홈플러스/일산점,31.0,7
쇼핑,롯데아울렛/고양터미널점,26.0,8
쇼핑,이마트/일산점,15.0,9
쇼핑,해태쇼핑타운,15.0,10
문화관광,일산호수공원,128.0,1
문화관광,중산체육공원,16.0,2
문화관광,CGV/일산,12.0,3
문화관광,고양아람누리,11.0,4
문화관광,롯데시네마/라페스타,8.0,5
문화관광,와글아이/일산차움라이프센터점,4.0,6
문화관광,고양아람누리새라새극장,3.0,7
문화관광,일산호수공원장미원,3.0,8
문화관광,일산문화공원,3.0,9
문화관광,능안공원,3.0,10
