방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.5,2.2
60~69세,8.6,4.9
50~59세,13.6,7.6
40~49세,11.9,6.1
30~39세,10.8,6.7
20~29세,13.1,7.0
10~19세,2.4,1.8
0~9세,0.4,0.5
