업종중분류명,현지인 검색비율,외지인 검색비율
음식,53.3,41.5
기타관광,15.3,13.3
쇼핑,12.5,21.1
문화관광,8.8,10.4
숙박,4.5,5.5
레저스포츠,3.5,6.1
역사관광,1.2,1.3
자연관광,0.6,0.6
체험관광,0.3,0.3
