거리구분명,방문자수,방문자비율
30km 미만,1374376.0,43.25
30km 이상 70km 미만,1437622.0,45.24
70km 이상 140km 미만 ,158571.0,4.99
140km 이상 190km 미만,60480.0,1.9
190km 이상 240km 미만,33288.0,1.05
240km 이상 ,113774.0,3.58
