업종중분류명,현지인 검색비율,외지인 검색비율
음식,46.3,33.6
기타관광,18.2,18.2
쇼핑,12.9,20.8
문화관광,10.0,11.3
레저스포츠,5.1,9.2
숙박,3.7,3.5
역사관광,1.9,1.8
자연관광,1.4,1.3
체험관광,0.4,0.3
