거리구분명,방문자수,방문자비율
30km 미만,1510148.0,42.1
30km 이상 70km 미만,1719176.0,47.93
70km 이상 140km 미만 ,175718.0,4.9
140km 이상 190km 미만,57414.0,1.6
190km 이상 240km 미만,25014.0,0.7
240km 이상 ,99498.0,2.77
