유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,18.2,26.0
기타관광,기타관광,18.2,74.0
레저스포츠,기타레저스포츠,8.6,2.6
레저스포츠,수상레저스포츠,8.6,4.3
레저스포츠,육상레저스포츠,8.6,93.1
문화관광,도시/지역문화관광,11.2,0.0
문화관광,기타문화관광지,11.2,1.8
문화관광,도시공원,11.2,46.1
문화관광,랜드마크관광,11.2,6.3
문화관광,복합관광시설,11.2,7.3
문화관광,테마공원,11.2,23.1
문화관광,레저스포츠시설,11.2,2.5
문화관광,공연시설,11.2,8.4
문화관광,전시시설,11.2,4.5
쇼핑,쇼핑몰,19.7,94.5
쇼핑,시장,19.7,2.8
쇼핑,기타쇼핑시설,19.7,2.6
숙박,모텔,3.5,21.4
숙박,펜션/민박,3.5,13.8
숙박,호스텔,3.5,2.7
숙박,호텔,3.5,11.9
숙박,캠핑,3.5,50.1
역사관광,역사유물,1.8,1.5
역사관광,역사유적지,1.8,41.8
역사관광,종교성지,1.8,56.7
음식,간이음식,35.4,9.1
음식,외국식,35.4,6.5
음식,음식점기타,35.4,0.3
음식,전문음식,35.4,19.2
음식,한식,35.4,38.1
음식,카페/찻집,35.4,26.7
자연관광,자연경관(하천/해양),1.3,35.2
자연관광,자연경관(산),1.3,36.6
자연관광,자연공원,1.3,28.2
체험관광,농/산/어촌체험,0.3,74.5
체험관광,웰니스관광,0.3,21.7
체험관광,공예체험,0.3,3.8
