방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.5,2.2
60~69세,7.4,4.7
50~59세,12.9,8.4
40~49세,12.2,7.3
30~39세,11.1,7.6
20~29세,10.7,7.0
10~19세,2.6,2.2
0~9세,0.6,0.7
