업종중분류명,업체명,방문자수,순위
음식,라플란드,24.0,1
음식,더티트렁크,21.0,2
음식,스타벅스/파주야당역점,21.0,3
음식,훈장골/파주점,8.0,4
음식,헤이리커피공장 103,8.0,5
음식,청산어죽,7.0,6
음식,스타벅스/파주운정점,7.0,7
음식,르시랑스,6.0,8
음식,무고레,6.0,9
음식,심학산도토리국수/본점,6.0,10
쇼핑,신세계프리미엄아울렛/파주점,170.0,1
쇼핑,롯데프리미엄아울렛/파주점,142.0,2
쇼핑,이마트/파주운정점,68.0,3
쇼핑,홈플러스/파주운정점,44.0,4
쇼핑,운정가구타운,19.0,5
쇼핑,이마트/파주점,10.0,6
쇼핑,홈플러스/파주문산점,2.0,7
쇼핑,문산자유시장,1.0,8
쇼핑,금촌전통시장,1.0,9
쇼핑,파주파비뇽아울렛,1.0,10
문화관광,평화누리,22.0,1
문화관광,운정호수공원,22.0,2
문화관광,자유로자동차극장,13.0,3
문화관광,메가박스/파주운정,11.0,4
문화관광,퍼스트가든,9.0,5
문화관광,메가박스/파주출판도시,5.0,6
문화관광,오두산통일전망대,5.0,7
문화관광,운정건강공원,5.0,8
문화관광,소울원,4.0,9
문화관광,메가박스/파주금촌,4.0,10
