지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1373.0,3.18
41113,수원시 권선구,1321.0,3.02
41115,수원시 팔달구,775.0,2.78
41117,수원시 영통구,1291.0,3.17
41131,성남시 수정구,1263.0,3.12
41133,성남시 중원구,1369.0,2.92
41135,성남시 분당구,1095.0,3.17
41150,의정부시,1825.0,3.1
41171,안양시 만안구,1340.0,3.03
41173,안양시 동안구,1252.0,3.06
41190,부천시,1684.0,3.16
41210,광명시,998.0,3.04
41220,평택시,2650.0,3.18
41250,동두천시,1878.0,3.07
41271,안산시 상록구,1822.0,3.07
41273,안산시 단원구,1464.0,2.96
41281,고양시 덕양구,1157.0,3.12
41285,고양시 일산동구,1088.0,3.14
41287,고양시 일산서구,1076.0,3.09
41290,과천시,760.0,3.13
41310,구리시,777.0,2.98
41360,남양주시,1522.0,3.1
41370,오산시,1725.0,3.09
41390,시흥시,1512.0,3.07
41410,군포시,1355.0,3.03
41430,의왕시,839.0,3.0
41450,하남시,1019.0,3.13
41461,용인시 처인구,1653.0,3.06
41463,용인시 기흥구,1417.0,3.21
41465,용인시 수지구,1619.0,3.2
41480,파주시,1421.0,3.04
41500,이천시,1613.0,3.11
41550,안성시,1708.0,3.18
41570,김포시,1668.0,3.14
41590,화성시,1881.0,3.07
41610,광주시,1371.0,3.11
41630,양주시,1477.0,3.06
41650,포천시,1470.0,2.77
41670,여주시,1208.0,2.88
41800,연천군,1382.0,2.74
41820,가평군,1272.0,2.35
41830,양평군,1078.0,2.64
