지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1007.0,2.99
41113,수원시 권선구,1189.0,2.92
41115,수원시 팔달구,667.0,2.59
41117,수원시 영통구,972.0,2.93
41131,성남시 수정구,1043.0,2.98
41133,성남시 중원구,1100.0,2.74
41135,성남시 분당구,974.0,3.05
41150,의정부시,1604.0,2.94
41171,안양시 만안구,990.0,2.83
41173,안양시 동안구,1142.0,2.9
41190,부천시,1484.0,3.0
41210,광명시,986.0,2.94
41220,평택시,2243.0,3.04
41250,동두천시,1424.0,2.88
41271,안산시 상록구,1650.0,2.96
41273,안산시 단원구,1161.0,2.73
41281,고양시 덕양구,947.0,3.01
41285,고양시 일산동구,913.0,2.97
41287,고양시 일산서구,922.0,2.95
41290,과천시,698.0,3.15
41310,구리시,745.0,2.89
41360,남양주시,1174.0,2.91
41370,오산시,1373.0,2.96
41390,시흥시,1037.0,2.87
41410,군포시,1137.0,2.9
41430,의왕시,807.0,2.96
41450,하남시,825.0,3.02
41461,용인시 처인구,1117.0,2.74
41463,용인시 기흥구,1180.0,3.03
41465,용인시 수지구,1381.0,3.09
41480,파주시,1129.0,2.87
41500,이천시,1260.0,2.94
41550,안성시,1139.0,2.83
41570,김포시,1278.0,2.98
41590,화성시,1548.0,2.91
41610,광주시,1122.0,3.0
41630,양주시,1178.0,2.89
41650,포천시,1183.0,2.57
41670,여주시,909.0,2.69
41800,연천군,1175.0,2.59
41820,가평군,954.0,2.24
41830,양평군,834.0,2.46
