순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202111,94859,94859.0
2,경기도,파주시,퍼스트가든,202111,36089,36089.0
3,경기도,파주시,벽초지수목원,202111,29443,29443.0
4,경기도,파주시,헤이리예술마을,202111,27419,27419.0
5,경기도,파주시,율곡선생유적지,202111,12609,12609.0
6,경기도,파주시,공릉관광지(하니랜드),202111,11631,11631.0
7,경기도,파주시,통일전망대,202111,11553,11553.0
8,경기도,파주시,서서울컨트리클럽,202111,10213,10213.0
9,경기도,파주시,경기미래교육 파주캠퍼스,202111,7188,7188.0
10,경기도,파주시,파주삼릉,202111,6823,6823.0
11,경기도,파주시,서원밸리골프클럽,202111,5194,5194.0
12,경기도,파주시,베스트밸리,202111,4327,4327.0
13,경기도,파주시,소울원,202111,3567,3567.0
14,경기도,파주시,황희선생유적지,202111,3354,3354.0
15,경기도,파주시,제3땅굴,202111,3292,3292.0
16,경기도,파주시,파주장릉,202111,2187,2187.0
17,경기도,파주시,우농타조농장,202111,1620,1620.0
18,경기도,파주시,황포돛배,202111,1321,1321.0
19,경기도,파주시,산머루농원,202111,657,657.0
20,경기도,파주시,쇠꼴마을,202111,400,400.0
21,경기도,파주시,영집궁시박물관,202111,279,279.0
22,경기도,파주시,두루뫼박물관,202111,93,93.0
