성/연령,지역명,비율
50대 남성,경상북도 포항시 남구,12.8
20대 남성,경상북도 포항시 남구,10.7
40대 남성,경상북도 포항시 남구,10.6
30대 남성,경상북도 포항시 남구,9.2
50대 여성,경상북도 포항시 남구,8.7
60대 남성,경상북도 포항시 남구,8.3
40대 여성,경상북도 포항시 남구,7.6
20대 여성,경상북도 포항시 남구,6.3
30대 여성,경상북도 포항시 남구,6.0
60대 여성,경상북도 포항시 남구,5.9
10대 남성,경상북도 포항시 남구,3.8
10대 여성,경상북도 포항시 남구,3.2
70대 이상 남성,경상북도 포항시 남구,2.8
70대 이상 여성,경상북도 포항시 남구,2.4
10대 미만 여성,경상북도 포항시 남구,0.9
10대 미만 남성,경상북도 포항시 남구,0.8
